bin,count,weight,min_probability,max_probability,mean_probability,observed_spam_rate,absolute_gap,ece_contribution,model,test_domain,setting,prompt_id,source_notebook
1,78,0.10077519379844961,0.0007253055522670533,0.027065271587481385,0.016281288837641874,0.02564102564102564,0.009359736803383766,0.0009432292902634803,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
2,78,0.10077519379844961,0.027328933508903603,0.04630504187339706,0.03690227836052084,0.02564102564102564,0.011261252719495199,0.0011348549252204463,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
3,78,0.10077519379844961,0.04677024875459194,0.07088913048688616,0.05937437035791661,0.038461538461538464,0.020912831896378145,0.002107494687231906,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
4,78,0.10077519379844961,0.07102127193031335,0.09754256587318771,0.0843375780223306,0.07692307692307693,0.007414501099253679,0.0007471977851961071,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
5,77,0.09948320413436693,0.09760644165355677,0.12451052499148078,0.1104535339196971,0.14285714285714285,0.032403608937445746,0.003223614842614112,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
6,77,0.09948320413436693,0.12472669423617402,0.15774749766550553,0.13997464201824192,0.16883116883116883,0.028856526812926914,0.0028707397475392408,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
7,77,0.09948320413436693,0.15811520576166738,0.20784610811667048,0.18269596118328096,0.15584415584415584,0.026851805339125123,0.002671303631928468,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
8,77,0.09948320413436693,0.20811581251828007,0.26713161915730393,0.2372245424591788,0.16883116883116883,0.06839337362800996,0.006803991950073342,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
9,77,0.09948320413436693,0.26774302677997136,0.33493190304834375,0.2996229191780918,0.2727272727272727,0.0268956464508191,0.0026756650861925976,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
10,77,0.09948320413436693,0.3362030058114291,0.7581954589851806,0.4133315844108311,0.16883116883116883,0.2445004155796623,0.024323684754049092,FLAN-T5 Base (zero-shot),sms,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
1,199,0.10045431600201918,0.0004297084217702728,0.011216390183943107,0.0068898771583081435,0.4271356783919598,0.4202458012336517,0.042215504515646984,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
2,198,0.09994952044422009,0.011370229503801692,0.01987066752636581,0.015616156533992356,0.30303030303030304,0.2874141464963107,0.028726906111191074,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
3,198,0.09994952044422009,0.019915300151475204,0.030049532633619383,0.025013787453351307,0.30303030303030304,0.27801651557695173,0.02778761740748937,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
4,198,0.09994952044422009,0.03009909395221773,0.04161302426459993,0.035737550176824374,0.41414141414141414,0.37840386396458975,0.03782128473750064,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
5,198,0.09994952044422009,0.04183010019978613,0.06234358210444261,0.05097752640467153,0.41414141414141414,0.36316388773674263,0.03629805642194601,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
6,198,0.09994952044422009,0.06239127175620222,0.09217814640504197,0.07487773330870053,0.5,0.4251222666912995,0.04249076668595522,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
7,198,0.09994952044422009,0.09219458749881362,0.1332131032047793,0.11228816634409007,0.5303030303030303,0.4180148639589402,0.041780385191251976,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
8,198,0.09994952044422009,0.1332896307685315,0.19504725012789786,0.16563073766150674,0.6414141414141414,0.4757834037526347,0.047554323040394586,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
9,198,0.09994952044422009,0.1956363073935316,0.30714682051965747,0.24953234472019845,0.7575757575757576,0.5080434128555591,0.05077869547975805,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
10,198,0.09994952044422009,0.3072546224370827,0.6750039540670507,0.42055299130088675,0.7222222222222222,0.30166923092133546,0.03015169496336417,FLAN-T5 Base (zero-shot),enron,zero-shot,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
