minimum_confidence,retained_rows,coverage,accuracy,error_rate,mean_confidence,model,test_domain,setting
0.5,774,1.0,0.8682170542635659,0.13178294573643412,0.8441461743707309,FLAN-T5 Base (zero-shot),sms,zero-shot
0.6,739,0.9547803617571059,0.8741542625169147,0.12584573748308525,0.8576729917573174,FLAN-T5 Base (zero-shot),sms,zero-shot
0.7,662,0.8552971576227391,0.8882175226586103,0.11178247734138969,0.8809754034021325,FLAN-T5 Base (zero-shot),sms,zero-shot
0.8,530,0.6847545219638242,0.9113207547169812,0.08867924528301885,0.9130978729565883,FLAN-T5 Base (zero-shot),sms,zero-shot
0.9,319,0.41214470284237725,0.9592476489028213,0.040752351097178674,0.9496989629191469,FLAN-T5 Base (zero-shot),sms,zero-shot
0.5,1981,1.0,0.5143866733972741,0.48561332660272594,0.8865544176215933,FLAN-T5 Base (zero-shot),enron,zero-shot
0.6,1879,0.9485108531044927,0.5119744544970729,0.4880255455029271,0.9044109405655281,FLAN-T5 Base (zero-shot),enron,zero-shot
0.7,1768,0.8924785461887935,0.5248868778280543,0.4751131221719457,0.9200796831156085,FLAN-T5 Base (zero-shot),enron,zero-shot
0.8,1597,0.8061585058051489,0.5572949279899813,0.44270507201001874,0.9381285653993436,FLAN-T5 Base (zero-shot),enron,zero-shot
0.9,1236,0.6239273094396769,0.6092233009708737,0.39077669902912626,0.9628603440554308,FLAN-T5 Base (zero-shot),enron,zero-shot
