model,config_id,training_seed,train_domain,test_domain,setting,test_rows,accuracy,precision,recall,f1,macro_f1,balanced_accuracy,mcc,roc_auc,pr_auc,predicted_spam_rate,brier_score,log_loss,ece,tn,fp,fn,tp,support,ham_support,spam_support,epochs_trained,training_seconds,vocabulary_size,parameters,kernel_size,dropout,learning_rate,sequence_length,source_notebook
TextCNN,kernel_3,13,sms,sms,in-domain,774,0.9780361757105943,0.9540229885057471,0.8645833333333334,0.907103825136612,0.9473248063411999,0.9293418141592921,0.8960776624885946,0.9857116519174042,0.9604870503266012,0.1124031007751938,0.01669023584346773,0.06782477885824703,0.008438109174507151,674,4,13,83,774,678,96,5,5.127604235000035,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,13,sms,enron,cross-domain,1981,0.5330641090358404,0.555921052631579,0.3403826787512588,0.42223610243597753,0.5152264798499244,0.5335516632622691,0.07274616249165843,0.5534347721499893,0.549204725565344,0.3069156991418476,0.3508879907903714,1.1612529929916988,0.2919247984911777,718,270,655,338,1981,988,993,5,5.127604235000035,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,42,sms,sms,in-domain,774,0.9806201550387597,0.9354838709677419,0.90625,0.9206349206349206,0.9547986965205508,0.948700221238938,0.9097492632562939,0.9905051622418879,0.9704278277883964,0.12015503875968993,0.01581406120570765,0.06456966409200132,0.004202648082424775,672,6,9,87,774,678,96,8,6.8680778199999395,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,42,sms,enron,cross-domain,1981,0.5330641090358404,0.5304114490161002,0.5971802618328298,0.561819043107532,0.5310445836823452,0.5329018718071031,0.0663555721918423,0.5416050001834706,0.5453592883173823,0.5643614336193842,0.3783709268065301,1.458709450556963,0.33194109721897247,463,525,400,593,1981,988,993,8,6.8680778199999395,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,73,sms,sms,in-domain,774,0.9806201550387597,0.9550561797752809,0.8854166666666666,0.918918918918919,0.9539568915944558,0.9397584808259587,0.9087708618797793,0.9895218780727629,0.9674246298998441,0.11498708010335917,0.014581227619034598,0.06136103298928082,0.005721928867725877,674,4,11,85,774,678,96,7,6.235747470000092,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,73,sms,enron,cross-domain,1981,0.5214538112064614,0.5241675617615468,0.4914400805639476,0.5072765072765073,0.5210572919110701,0.5215297568811641,0.043137277067448,0.5318953321020423,0.5388032623226802,0.46996466431095407,0.37208669850088844,1.3214883307334218,0.31919289238436666,545,443,505,488,1981,988,993,7,6.235747470000092,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,101,sms,sms,in-domain,774,0.979328165374677,0.9347826086956522,0.8958333333333334,0.9148936170212766,0.9515644555694618,0.9434918879056047,0.9033999007151892,0.9895986971484758,0.9700050770563259,0.11886304909560723,0.01586744460839635,0.06084300786565492,0.007342066455731536,672,6,10,86,774,678,96,7,6.322019527000066,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,101,sms,enron,cross-domain,1981,0.5618374558303887,0.5668449197860963,0.5337361530715005,0.549792531120332,0.5615236008600677,0.5619085623657097,0.12401155793355942,0.5741037464681924,0.5521309243906579,0.4719838465421504,0.3371705314369533,1.1891587155410326,0.278055086043415,583,405,463,530,1981,988,993,7,6.322019527000066,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,137,sms,sms,in-domain,774,0.9780361757105943,0.9157894736842105,0.90625,0.9109947643979057,0.9492335649550325,0.9472252949852507,0.8984835465743871,0.9880469518190756,0.9697787605191233,0.1227390180878553,0.01582500748666256,0.0640418490678559,0.007873909852678574,670,8,9,87,774,678,96,8,6.8775536200000715,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,137,sms,enron,cross-domain,1981,0.5371024734982333,0.5306451612903226,0.6626384692849949,0.5893416927899686,0.5294886601601665,0.5367848216870319,0.07602068888749051,0.5474689221310306,0.5304440375336672,0.6259464916708734,0.3788611673653681,1.5773318762303468,0.335362913698526,406,582,335,658,1981,988,993,8,6.8775536200000715,7692,1042177,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
