train_domain,config_id,candidate_order,training_seed,kernel_size,dropout,learning_rate,validation_macro_f1,validation_spam_f1,validation_balanced_accuracy,validation_mcc,validation_pr_auc,best_validation_loss,epochs_trained,training_seconds,source_notebook
sms,reference,0,13,5,0.4,0.001,0.9728792179123305,0.9523809523809523,0.9624404208987498,0.9461933336665798,0.9822660886489107,0.04424252361059189,5,11.053071445,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,reference,0,42,5,0.4,0.001,0.9677298311444653,0.9435897435897436,0.9697954895003731,0.9354760089259015,0.9818019346690668,0.050250887870788574,6,5.82184889399997,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,reference,0,73,5,0.4,0.001,0.964325221238938,0.9375,0.9602247635870806,0.9287172039078353,0.9799384119653523,0.04789212346076965,6,5.775710414000002,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,kernel_3,1,13,3,0.4,0.001,0.9705340419375961,0.9484536082474226,0.9705340419375961,0.9410680838751923,0.9857653642246804,0.03831885755062103,6,5.7009560759999545,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,kernel_3,1,42,3,0.4,0.001,0.970271017699115,0.9479166666666666,0.9661179551995615,0.9406094549761563,0.9907709387763385,0.03147849813103676,8,6.676538519000019,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,kernel_3,1,73,3,0.4,0.001,0.9680101597989081,0.9441624365482234,0.9742115762384078,0.9361650002820715,0.9895964170991559,0.036145344376564026,7,6.128859698999975,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,dropout_0_5,2,13,5,0.5,0.001,0.9697277847309136,0.9468085106382979,0.9572857817234921,0.9400844029566469,0.9831048017973857,0.0434349849820137,5,5.181533318999982,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,dropout_0_5,2,42,5,0.5,0.001,0.9677298311444653,0.9435897435897436,0.9697954895003731,0.9354760089259015,0.983233508027242,0.048100657761096954,6,5.795329332999984,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,dropout_0_5,2,73,5,0.5,0.001,0.964325221238938,0.9375,0.9602247635870806,0.9287172039078353,0.9825868754523898,0.044972117990255356,5,5.164734378999981,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,lr_5e_4,3,13,5,0.4,0.0005,0.970271017699115,0.9479166666666666,0.9661179551995615,0.9406094549761563,0.9805532834050416,0.04682151600718498,6,5.743995802000029,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,lr_5e_4,3,42,5,0.4,0.0005,0.9649498852795556,0.9387755102040817,0.9690569370631501,0.9299642995497048,0.983305742103888,0.04689712077379227,8,6.9578514410000025,https://www.kaggle.com/code/kaloyanbozukov/notebook3
sms,lr_5e_4,3,73,5,0.4,0.0005,0.970271017699115,0.9479166666666666,0.9661179551995615,0.9406094549761563,0.9824188805458406,0.04565794765949249,7,6.429772520999961,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,reference,0,13,5,0.4,0.001,0.9933614474954215,0.9931068439192516,0.9933264530949062,0.986724681824516,0.9996915404107983,0.0204604659229517,4,21.51271214999997,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,reference,0,42,5,0.4,0.001,0.9909921234955446,0.9906679764243614,0.9910443901099678,0.981988256360954,0.9994766984963213,0.026678958907723427,4,21.413444051,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,reference,0,73,5,0.4,0.001,0.9921758489620927,0.9918739226791431,0.9921322146248246,0.9843544866173956,0.9997211831861843,0.021242208778858185,4,21.473875935000024,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,kernel_3,1,13,3,0.4,0.001,0.992887004863241,0.9926108374384236,0.9928345691795102,0.9857780284768366,0.9997737100647149,0.01848473958671093,5,25.359261882,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,kernel_3,1,42,3,0.4,0.001,0.9928880268315351,0.9926253687315634,0.9929055118163268,0.9857765000626992,0.9995990169312197,0.022464487701654434,4,20.604656390000002,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,kernel_3,1,73,3,0.4,0.001,0.9928864746014809,0.992603550295858,0.9927990978611019,0.9857841140912317,0.9994413464013681,0.01971660740673542,4,20.973961254000017,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,dropout_0_5,2,13,5,0.5,0.001,0.9931252125992197,0.9928729417547308,0.9931514537740248,0.9862514298032042,0.9997368255042804,0.01913214474916458,4,21.26392890400001,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,dropout_0_5,2,42,5,0.5,0.001,0.9917007300314956,0.9913686806411838,0.9916048593910203,0.9834149539428919,0.9996265222382449,0.024988222867250443,4,21.381073600000036,https://www.kaggle.com/code/kaloyanbozukov/notebook3
enron,dropout_0_5,2,73,5,0.5,0.001,0.9914653313885473,0.9911460895228726,0.9914653313885473,0.9829306627770944,0.9996790261100998,0.02437080442905426,4,21.421751349000033,https://www.kaggle.com/code/kaloyanbozukov/notebook3
